date,usd_oficial_venta,usd_oficial_compra,usd_blue_venta,usd_blue_compra
2026-05-01,1416.0,1363.0,1400.0,1380.0
2026-04-30,1416.0,1363.0,1400.0,1380.0
2026-04-29,1427.0,1375.0,1415.0,1395.0
2026-04-28,1441.0,1384.0,1430.0,1410.0
2026-04-27,1435.0,1378.0,1430.0,1410.0
2026-04-24,1413.0,1362.0,1420.0,1400.0
2026-04-23,1403.0,1352.0,1420.0,1400.0
2026-04-22,1400.0,1348.0,1415.0,1395.0
2026-04-21,1401.0,1349.0,1410.0,1390.0
2026-04-20,1389.0,1339.0,1410.0,1390.0
2026-04-17,1379.0,1328.0,1410.0,1390.0
2026-04-16,1382.0,1331.0,1415.0,1395.0
2026-04-15,1389.0,1339.0,1410.0,1390.0
2026-04-14,1388.0,1337.0,1410.0,1390.0
2026-04-13,1391.0,1341.0,1400.0,1380.0
2026-04-10,1400.0,1350.0,1390.0,1370.0
2026-04-09,1410.0,1360.0,1390.0,1370.0
2026-04-08,1412.0,1362.0,1390.0,1370.0
2026-04-07,1419.0,1369.0,1395.0,1375.0
2026-04-06,1417.0,1365.0,1400.0,1380.0
2026-04-03,1416.0,1365.0,1405.0,1385.0
2026-04-02,1416.0,1365.0,1405.0,1385.0
2026-04-01,1409.0,1358.0,1405.0,1385.0
2026-03-31,1419.0,1369.0,1410.0,1390.0
2026-03-30,1417.0,1365.0,1425.0,1405.0
2026-03-27,1399.0,1348.0,1415.0,1395.0
2026-03-26,1394.0,1344.0,1425.0,1405.0
2026-03-25,1410.0,1359.0,1420.0,1400.0
2026-03-24,1414.0,1364.0,1425.0,1405.0
2026-03-23,1414.0,1364.0,1425.0,1405.0
2026-03-20,1416.0,1365.0,1425.0,1405.0
2026-03-19,1418.0,1368.0,1430.0,1410.0
2026-03-18,1422.0,1372.0,1435.0,1415.0
2026-03-17,1418.0,1367.0,1435.0,1415.0
2026-03-16,1416.0,1366.0,1425.0,1405.0
2026-03-13,1419.0,1369.0,1415.0,1395.0
2026-03-12,1419.0,1369.0,1420.0,1400.0
2026-03-11,1422.0,1370.0,1415.0,1395.0
2026-03-10,1428.0,1378.0,1420.0,1400.0
2026-03-09,1441.0,1390.0,1425.0,1405.0
2026-03-06,1429.0,1378.0,1415.0,1395.0
2026-03-05,1425.0,1375.0,1395.0,1375.0
2026-03-04,1428.0,1377.0,1415.0,1395.0
2026-03-03,1426.0,1376.0,1425.0,1405.0
2026-03-02,1426.0,1376.0,1420.0,1400.0
2026-02-27,1430.0,1379.0,1420.0,1400.0
2026-02-26,1429.0,1378.0,1435.0,1415.0
2026-02-25,1400.0,1350.0,1435.0,1415.0
2026-02-24,1400.0,1349.0,1430.0,1410.0
2026-02-23,1399.0,1349.0,1420.0,1400.0
2026-02-20,1412.0,1362.0,1430.0,1410.0
2026-02-19,1420.0,1370.0,1435.0,1415.0
2026-02-18,1426.0,1375.0,1435.0,1415.0
2026-02-17,1421.0,1370.0,1440.0,1420.0
2026-02-16,1421.0,1370.0,1440.0,1420.0
2026-02-13,1420.0,1370.0,1440.0,1420.0
2026-02-12,1420.0,1370.0,1440.0,1420.0
2026-02-11,1428.0,1378.0,1435.0,1415.0
2026-02-10,1435.0,1385.0,1425.0,1405.0
2026-02-09,1453.0,1403.0,1430.0,1410.0
2026-02-06,1464.0,1413.0,1435.0,1415.0
2026-02-05,1467.0,1417.0,1440.0,1420.0
2026-02-04,1466.0,1415.0,1455.0,1435.0
2026-02-03,1468.0,1417.0,1450.0,1430.0
2026-02-02,1469.0,1418.0,1450.0,1430.0
2026-01-30,1465.0,1415.0,1470.0,1450.0
2026-01-29,1464.0,1413.0,1475.0,1455.0
2026-01-28,1463.0,1413.0,1485.0,1465.0
2026-01-27,1463.0,1413.0,1490.0,1470.0
2026-01-26,1457.0,1406.0,1490.0,1470.0
2026-01-23,1453.0,1402.0,1485.0,1465.0
2026-01-22,1452.0,1407.0,1495.0,1475.0
2026-01-21,1452.0,1409.0,1500.0,1480.0
2026-01-20,1455.0,1412.0,1500.0,1480.0
2026-01-19,1455.0,1411.0,1505.0,1485.0
2026-01-16,1467.0,1424.0,1505.0,1485.0
2026-01-15,1475.0,1432.0,1505.0,1485.0
2026-01-14,1480.0,1437.0,1515.0,1495.0
2026-01-13,1483.0,1439.0,1505.0,1485.0
2026-01-12,1483.0,1440.0,1505.0,1485.0
2026-01-09,1483.0,1437.0,1505.0,1485.0
2026-01-08,1485.0,1432.0,1505.0,1485.0
2026-01-07,1488.0,1437.0,1515.0,1495.0
2026-01-06,1492.0,1441.0,1520.0,1500.0
2026-01-05,1492.0,1441.0,1515.0,1495.0
2026-01-02,1479.0,1429.0,1530.0,1510.0
2026-01-01,1479.0,1429.0,1530.0,1510.0
2025-12-31,1482.0,1431.0,1530.0,1510.0
2025-12-30,1482.0,1431.0,1525.0,1505.0
2025-12-29,1477.0,1424.0,1540.0,1520.0
